name,value,dataframe
prn,2,0
gpsWeek,797,1
gpsSecond,240704,2
L1L2corr,1.39698E-09,3
clockOffset,-0.000158074,4
clockDrift,-2.50111E-12,5
rootSMA,5153.67,6
eccentricity,0.0139305,7
inclination,0.950462,8
longAscNode,1.75048,9
argPerigee,-2.56865,10
meanAnomaly,-2.62555,11
inclinationROC,4.11089E-10,12
longAscNodeROC,-8.43857E-09,13
meanMotionCorr,5.04521E-09,14
amplCosCorrArgLatCCuc,4.36418E-06,15
amplSinCorrArgLatCus,2.70829E-06,16
amplCosCorrOrbRadCrc,321.656,17
amplSinCorrOrbRadCrs,87.6875,18
amplCosCorrInclAngleCic,1.88127E-07,19
amplSinCorrInclAngleCis,-1.00583E-07,20
